DIRECTORIO,SECUENCIA_P,TAM_HOGAR,ORDEN,P3271,P6040,P6050,P6070,P6090,P6100,P6110,P6120,P6160,P6170,P3041,P3042,P3042S1,P3042S2,CLASE,P400,P401,P402,P403,P404,P3564,P405,P408,P409,P410,P410S1,P411,P411S1,P412,P412S1,P413,P414,P415,P416,P420,P3131S1,P3131S1A1,P3131S1A2,P3131S2,P3131S2A1,P3131S2A2,P3131S3,P3131S3A1,P3131S3A2,P3132S1,P3132S1A1,P3132S1A2,P3132S2,P3132S2A1,P3132S2A2,P3132S3,P3132S3A1,P3132S3A2,P3133S1,P3133S1A1,P3133S1A2,P3133S2,P3133S2A1,P3133S2A2,P3133S3,P3133S3A1,P3133S3A2,P3134S1,P3134S1A1,P3134S1A2,P3134S2,P3134S2A1,P3134S2A2,P3134S3,P3134S3A1,P3134S3A2,P3135S1,P3135S1A1,P3135S1A2,P3135S2,P3135S2A1,P3135S2A2,P3135S3,P3135S3A1,P3135S3A2,P3136S1,P3136S1A1,P3136S1A2,P3136S2,P3136S2A1,P3136S2A2,P3136S3,P3136S3A1,P3136S3A2,P3137,P3137S1,P3137S2,P3138,P3138S1,P3138S2,P3139,P3139S1,P3139S2,P3141,P3141S1,P3141S2,P3142,P3142S1,P3142S2,P3143,P3143S1,P3143S2,P3144,P3144S1,P3144S2,P3145,P3145S1,P3145S2,P3502,P3502S1,P3502S2,P3503,P3503S1,P3503S2,P3504,P3504S1,P3504S2,P423,RAMA4D_R4,RAMA2D_R4,FEX_C,AREA,OFICIO_C8
7986387,1,11,9,1,7,8,,1,3,,,2,1,1,3,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,93.413582378,52,
7986391,1,3,3,1,16,3,6,1,3,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,5,1,2,,,2,,,1,2,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,41.497586904,52,
7986393,1,3,2,2,16,3,6,1,3,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,46.635283113,52,
7986393,1,3,3,1,9,3,,1,3,,,1,1,1,3,2,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,2,1,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,46.635283113,52,
7986398,1,3,3,1,12,8,6,1,3,,,1,1,1,4,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,3,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,55.578486334,52,
7986402,1,3,3,2,13,3,6,1,3,,,1,1,1,4,2,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,5,1,2,,,2,,,2,,,2,,,2,,,1,5,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,46.028032182,52,
7986404,1,5,5,1,16,9,6,1,3,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,28.621720345,52,
7986408,1,4,4,1,7,3,,1,2,5,,1,1,2,3,1,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,59.743782269,52,
7986410,1,2,2,1,10,8,6,1,3,,,1,1,1,3,2,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,49.082631247,52,
7986417,1,3,3,1,5,3,,1,3,,,2,1,1,2,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,74.554834672,52,
7986419,1,5,4,1,16,8,6,1,3,,,1,1,1,4,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,4,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,51.154780629,52,
7989587,1,7,4,2,8,3,,1,1,5,,1,1,1,3,1,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,56.686719859,52,
7989591,1,3,3,1,14,3,6,1,2,5,,1,1,2,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,4,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,34.409923695,52,
7989595,1,3,3,2,16,3,6,1,3,,,1,1,1,4,2,,1,1,,,,,1,6,1,100000,1,120000,2,,2,,,6,8,20,7,1,3,1,2,,,2,,,1,3,2,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,4530,45,35.866254686,52,9510
7989598,1,5,3,2,16,13,6,1,3,,,2,1,1,2,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,33.231182512,52,
7989598,1,5,4,2,14,13,6,1,3,,,1,1,1,4,2,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,2,1,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,1,5,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,33.231182512,52,
7989598,1,5,5,2,13,13,6,1,3,,,1,1,1,4,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,3,1,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,33.231182512,52,
7989603,1,5,5,1,12,8,6,1,2,5,,1,1,1,4,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,31.341133437,52,
7989607,1,5,3,1,7,3,,1,1,5,,1,1,2,3,1,,1,3,2,2,2,2,,,,,,,,,,,,,,,,1,6,1,2,,,2,,,1,5,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,3,,,59.649224905,52,
7989610,1,3,2,2,12,3,6,1,3,,,1,1,1,4,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,3,1,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,36.195095338,52,
7989613,1,5,3,2,15,8,6,1,2,5,,1,1,2,4,4,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,1,7,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,45.144432022,52,
7989613,1,5,5,1,17,8,6,1,1,5,,1,2,,5,2,,1,6,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,45.144432022,52,
7989619,1,4,2,1,13,3,6,1,3,,,1,1,1,4,2,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,5,1,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,65.688501184,52,
7989619,1,4,4,1,9,13,,1,3,,,1,1,1,3,3,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,65.688501184,52,
7989621,1,2,2,1,16,3,6,1,3,,,1,1,2,6,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,2,2,2,,,2,,,1,1,1,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,36.4314892,52,
7989622,1,3,3,1,14,8,6,1,3,,,1,1,1,4,2,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,58.35741065,52,
7989626,1,4,4,1,14,3,6,1,3,,,1,1,1,4,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,7,1,2,,,2,,,1,1,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,45.821556903,52,
7989629,1,4,2,1,11,3,6,1,3,,,1,1,1,3,4,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,58.511714845,52,
7989629,1,4,3,1,10,3,6,1,3,,,1,1,1,3,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,58.511714845,52,
7989630,1,4,3,1,7,3,,1,3,,,1,1,1,3,1,,1,3,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,63.458475989,52,
7989631,1,4,4,1,12,8,6,1,3,,,1,1,1,4,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,46.285357052,52,
7989634,1,4,3,1,17,3,6,2,,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,32.778258533,52,
7989634,1,4,4,1,15,3,6,1,3,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,32.778258533,52,
7989636,1,3,3,1,9,8,,1,2,5,,1,1,2,3,2,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,4,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,45.473307,52,
7989638,1,2,2,1,15,3,6,1,3,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,2,1,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,36.4314892,52,
7989639,1,6,4,1,13,3,6,1,1,5,,1,1,1,4,2,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,58.038316807,52,
7989640,1,4,4,1,5,3,,1,1,5,,2,1,2,2,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,59.743782269,52,
7989641,1,4,3,2,9,3,,1,1,5,,1,1,2,3,2,,1,3,2,2,2,2,,,,,,,,,,,,,,,,1,3,2,2,,,2,,,1,2,1,2,,,2,,,1,5,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,58.170269656,52,
7989642,1,3,3,1,5,3,,1,1,5,,1,1,2,2,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,62.129028893,52,
7989647,1,2,2,1,6,3,,1,3,,,2,1,1,2,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,31.944162891,52,
7989648,1,2,2,1,16,3,6,1,3,,,1,1,1,5,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,5,2,2,,,2,,,1,1,2,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,36.4314892,52,
7989650,1,2,2,1,7,3,,1,1,5,,1,1,2,3,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,57.676960776,52,
7989660,1,3,3,2,16,3,6,1,1,5,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,5,1,2,,,2,,,2,,,2,,,2,,,1,5,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,41.059622697,52,
7989665,1,2,2,1,17,3,6,1,3,,,1,1,1,5,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,4,1,2,,,2,,,1,1,3,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,24.889837159,52,
7989667,1,3,3,2,10,3,6,1,3,,,1,1,1,3,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,62.318390924,52,
7989686,1,3,3,1,7,3,,1,1,5,,1,1,2,3,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,5,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,65.235480338,52,
7989692,1,3,3,2,5,8,,1,1,5,,2,2,,1,0,,1,6,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,44.271215515,52,
7991651,1,4,3,2,13,3,6,1,2,5,,1,1,1,4,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,1,1,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,93.07243145,52,
7991654,1,6,6,1,11,8,6,1,3,,,1,1,2,4,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,63.920983717,52,
7991656,1,5,3,1,11,3,6,1,3,,,1,1,1,3,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,56.499649716,52,
7991656,1,5,5,1,15,3,6,1,2,5,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,2,2,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,56.499649716,52,
7991662,1,2,2,2,16,3,6,1,3,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,7,1,2,,,2,,,1,1,1,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,56.24442834,52,
7991667,1,4,4,2,16,8,6,1,1,5,,1,1,2,5,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,62.176817017,52,
7991671,1,3,3,1,9,3,,1,1,5,,1,1,2,3,3,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,60.834674124,52,
7991673,1,5,3,2,12,3,6,1,2,5,,1,1,2,4,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,1,3,2,,,2,,,1,1,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,75.865459568,52,
7991673,1,5,5,2,14,13,6,2,,,,1,1,2,4,2,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,4,1,2,,,2,,,1,2,1,2,,,2,,,1,2,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,75.865459568,52,
7993158,1,4,4,1,9,8,,1,3,,,1,1,1,3,3,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,3,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,90.045831675,52,
7993162,1,3,3,1,17,3,6,1,3,,,1,1,1,5,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,1,1,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,47.166316508,52,
7993165,1,4,2,1,15,3,6,1,3,,,1,1,1,5,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,58.298582639,52,
7993165,1,4,4,1,9,8,,1,3,,,1,1,1,3,3,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,58.298582639,52,
7993167,1,4,3,2,10,3,6,1,3,,,1,1,1,3,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,3,2,2,,,2,,,2,,,2,,,2,,,1,3,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,77.713033699,52,
7993167,1,4,4,2,5,3,,1,3,,,2,1,1,2,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,77.713033699,52,
7993169,1,5,4,2,16,3,6,1,2,5,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,7,1,2,,,2,,,1,1,1,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,36.77791229,52,
7993169,1,5,5,2,8,3,,1,2,5,,1,1,1,3,1,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,3,,,36.77791229,52,
7993170,1,4,3,2,11,3,6,1,1,5,,1,1,2,3,4,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,59.867818553,52,
7993170,1,4,4,2,7,3,,1,1,5,,1,1,2,3,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,59.867818553,52,
7993177,1,2,2,1,7,3,,1,3,,,1,1,1,3,1,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,77.863897048,52,
7993181,1,5,3,2,16,8,6,1,3,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,1,2,2,,,2,,,1,1,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,60.122471897,52,
7993181,1,5,4,2,9,8,,1,1,5,,1,1,2,3,3,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,60.122471897,52,
